name,closed,lat,lng,city,state,country,url
Soldier Mountain,false,0.43485e2,-0.11483e3,Soldier Mountain Ski Area,Idaho,United States,https://soldiermountain.com/
Bald Mountain,false,0.43655e2,-0.11440917e3,Broadway Face,Idaho,United States,http://www.sunvalley.com
Tamarack Resort,false,0.44671e2,-0.116123e3,Valley County,Idaho,United States,http://www.tamarackidaho.com
Bear Paw Ski Bowl,false,0.481644e2,-0.1096702194e3,Hill County,Montana,United States,https://web.archive.org/web/20061029144905/http://www.skibearpaw.com:80/
Big Sky Resort,false,0.4525e2,-0.11141667e3,Madison County,Montana,United States,http://www.bigskyresort.com/
Blacktail Mountain Ski Area,false,0.4801306e2,-0.11424694e3,Blacktail Road,Montana,United States,http://www.blacktailmountain.com/
Bridger Bowl Ski Area,false,0.45818e2,-0.110897e3,Bridge Bowl Road,Montana,United States,https://bridgerbowl.com
Discovery Ski Area,false,0.4625639e2,-0.11324194e3,Granite County,Montana,United States,http://www.skidiscovery.com/
Great Divide Montana,false,0.467497e2,-0.1123043e3,Aspen Way,Montana,United States,http://www.skigd.com
Lost Trail Powder Mountain,false,0.45692e2,-0.113952e3,Lost Trail Powder Mountain,Montana,United States,http://www.losttrail.com
Maverick Mountain Ski Area,false,0.45435e2,-0.11312944e3,Maverick Mountain Lodge,Montana,United States,http://skimaverick.com
Montana Snowbowl,false,0.4702e2,-0.114e3,Second Thought,Montana,United States,http://www.montanasnowbowl.com
Moonlight Basin,false,0.4531417e2,-0.11145083e3,The Reserve at Moonlight Basin,Montana,United States,http://www.bigskyresort.com/
Red Lodge Mountain,false,0.45191e2,-0.109335e3,Ski Run Road,Montana,United States,http://www.redlodgemountain.com
Showdown Ski Area,false,0.4683861e2,-0.11070889e3,Forest Service Road 834,Montana,United States,http://www.showdownmontana.com/
Teton Pass Ski Area,false,0.4792806e2,-0.11281528e3,Teton County,Montana,United States,https://www.skitetonmt.com/
Turner Mountain Ski Resort,false,0.48605e2,-0.11563e3,Lincoln County,Montana,United States,http://www.skiturner.com
Whitefish Mountain Resort,false,0.485e2,-0.11434e3,Summit Trail,Montana,United States,http://www.skiwhitefish.com/
Yellowstone Club,false,0.452313833e2,-0.1114512556e3,Madison County,Montana,United States,
Angel Fire Resort,false,0.363875e2,-0.10527333e3,Angel Fire,New Mexico,United States,http://www.angelfireresort.com
Pajarito Mountain Ski Area,false,0.3589417e2,-0.10639028e3,Byrdie's Place,New Mexico,United States,http://www.pajarito.ski/
Sandia Peak Ski Area,false,0.352070056e2,-0.1064134472e3,Double Eagle Day Lodge,New Mexico,United States,http://www.sandiapeak.com
