name,closed,lat,lng,city,state,country,url
Les Menuires,false,0.4532361e2,0.65375e1,Saint-Martin-de-Belleville,Auvergne-Rhône-Alpes,France,http://lesmenuires.com/
Méribel,false,0.453967306e2,0.65662694e1,Les Allues,Auvergne-Rhône-Alpes,France,http://french-alps.meribel.net/
La Norma,false,0.452022e2,0.669889e1,La Norma,Auvergne-Rhône-Alpes,France,http://www.la-norma.fr/en/
Notre-Dame-de-Bellecombe,false,0.458103e2,0.65197e1,Notre-Dame-de-Bellecombe,Auvergne-Rhône-Alpes,France,
Orelle,false,0.4521e2,0.65378e1,Orelle,Auvergne-Rhône-Alpes,France,
Les Arcs,false,0.4557167e2,0.680778e1,Arpette,Auvergne-Rhône-Alpes,France,https://www.lesarcs.com/
La Plagne,false,0.455064e2,0.667722e1,La Plagne-Tarentaise,Auvergne-Rhône-Alpes,France,https://www.la-plagne.com/
Pralognan-la-Vanoise,false,0.453825e2,0.67222e1,Pralognan-la-Vanoise,Auvergne-Rhône-Alpes,France,
Saint-Colomban-des-Villards,false,0.45295e2,0.62272e1,Saint-Colomban-des-Villards,Auvergne-Rhône-Alpes,France,
La Rosière,false,0.4562722e2,0.684917e1,Montvalezan,Auvergne-Rhône-Alpes,France,http://www.larosiere.net
Saint-Jean-d'Arves,false,0.452081e2,0.62739e1,Saint-Jean-d'Arves,Auvergne-Rhône-Alpes,France,
Saint-François-Longchamp,false,0.454106e2,0.63492e1,Saint-François-Longchamp,Auvergne-Rhône-Alpes,France,
Saint-Martin-de-Belleville,false,0.453811e2,0.65053e1,Saint-Martin-de-Belleville,Auvergne-Rhône-Alpes,France,
Saint-Sorlin-d'Arves,false,0.452205e2,0.62308e1,Saint-Sorlin-d'Arves,Auvergne-Rhône-Alpes,France,
Sainte-Foy-Tarentaise,false,0.4559e2,0.688e1,Villaroger,Auvergne-Rhône-Alpes,France,http://www.saintefoy-tarentaise.com/english/winter/ski/
Les Saisies,false,0.4575722e2,0.653917e1,Hauteluce,Auvergne-Rhône-Alpes,France,
Sollières-Sardières,false,0.45265e2,0.68092e1,Val-Cenis,Auvergne-Rhône-Alpes,France,
La Tania,false,0.4543167e2,0.659528e1,Courchevel,Auvergne-Rhône-Alpes,France,
Termignon,false,0.452783e2,0.68178e1,Termignon,Auvergne-Rhône-Alpes,France,
Tignes,false,0.454683e2,0.69056e1,Tignes,Auvergne-Rhône-Alpes,France,
La Toussuire,false,0.4524722222e2,0.6303055556e1,Fontcouverte-la-Toussuire,Auvergne-Rhône-Alpes,France,http://la-toussuire.com/en/
Val Cenis Vanoise,false,0.45283e2,0.69e1,Val-Cenis,Auvergne-Rhône-Alpes,France,http://www.haute-maurienne-vanoise.com/
Val-d'Isère,false,0.454506e2,0.69781e1,La Daille,Auvergne-Rhône-Alpes,France,
Val Thorens,false,0.4529806e2,0.658e1,Saint-Martin-de-Belleville,Auvergne-Rhône-Alpes,France,http://www.valthorens.com
Valfréjus,false,0.4517399e2,0.66534233e1,Modane,Auvergne-Rhône-Alpes,France,http://www.valfrejus.com/en/
Valloire,false,0.451658e2,0.64292e1,Valloire,Auvergne-Rhône-Alpes,France,http://www.valloire.net/fr/hiver/
Valmorel,false,0.454341e2,0.64421e1,,Auvergne-Rhône-Alpes,France,http://www.valmorel.com/en/
Villaroger,false,0.455919e2,0.6875e1,Villaroger,Auvergne-Rhône-Alpes,France,
Argentière,false,0.4598e2,0.693e1,Argentière,Auvergne-Rhône-Alpes,France,
Bellevaux,false,0.462575e2,0.65319e1,Bellevaux,Auvergne-Rhône-Alpes,France,
Avoriaz,false,0.4619083e2,0.6775e1,Avoriaz,Auvergne-Rhône-Alpes,France,http://www.avoriaz.com
Bernex,false,0.463608e2,0.66758e1,Bernex,Auvergne-Rhône-Alpes,France,
Massif des Brasses,false,0.46168e2,0.6449e1,Saint-Jeoire,Auvergne-Rhône-Alpes,France,
Arâches-la-Frasse,false,0.460442e2,0.66322e1,La Frasse,Auvergne-Rhône-Alpes,France,
Châtel,false,0.462675e2,0.68417e1,Châtel,Auvergne-Rhône-Alpes,France,
