name,closed,lat,lng,city,state,url,forecast_url
Windham Mountain,false,42.29167,-74.25944,Town of Windham,New York,http://www.windhammountain.com/,"https://api.weather.gov/gridpoints/ALY/44,39/forecast"
Bear Creek Mountain Resort,false,40.47611,-75.62583,Longswamp Township,Pennsylvania,http://www.bcmr.com/,"https://api.weather.gov/gridpoints/PHI/29,96/forecast"
Blue Mountain Resort,false,40.82222,-75.51333,Lower Towamensing Township,Pennsylvania,,"https://api.weather.gov/gridpoints/PHI/31,112/forecast"
Boyce Park,false,40.46556,-79.74528,,Pennsylvania,,"https://api.weather.gov/gridpoints/PBZ/85,67/forecast"
Camelback Mountain Resort,false,41.05139,-75.35528,Pocono Township,Pennsylvania,http://www.skicamelback.com,"https://api.weather.gov/gridpoints/PHI/35,123/forecast"
Elk Mountain Ski Area,false,41.721,-75.559,,Pennsylvania,,"https://api.weather.gov/gridpoints/BGM/80,41/forecast"
Hidden Valley Resort,false,40.058042,-79.258277,Jefferson Township,Pennsylvania,http://www.hiddenvalleyresort.com,"https://api.weather.gov/gridpoints/CTP/24,17/forecast"
Jack Frost Ski Resort,false,41.111,-75.652,Kidder Township,Pennsylvania,,"https://api.weather.gov/gridpoints/PHI/24,125/forecast"
Liberty Mountain Resort,false,39.7635,-77.375,Carroll Valley,Pennsylvania,http://www.libertymountainresort.com,"https://api.weather.gov/gridpoints/CTP/91,12/forecast"
Mount Pleasant of Edinboro,false,41.85111,-80.07028,Mount Pleasant of Edinboro,Pennsylvania,,"https://api.weather.gov/gridpoints/CLE/136,86/forecast"
Seven Springs Mountain Resort,false,40.02306,-79.29278,Seven Springs,Pennsylvania,http://www.7springs.com,"https://api.weather.gov/gridpoints/CTP/23,15/forecast"
Shawnee Mountain Ski Area,true,41.04083,-75.08333,Middle Smithfield Township,Pennsylvania,http://www.shawneemt.com,"https://api.weather.gov/gridpoints/PHI/44,124/forecast"
Ski Big Bear,false,41.52333,-75.025,Big Bear Ski Resort,Pennsylvania,,"https://api.weather.gov/gridpoints/BGM/99,34/forecast"
Roundtop Mountain Resort,false,40.108,-76.926,Warrington Township,Pennsylvania,http://www.skiroundtop.com,"https://api.weather.gov/gridpoints/CTP/104,29/forecast"
Schwenksville,false,40.25639,-75.465,Schwenksville,Pennsylvania,,"https://api.weather.gov/gridpoints/PHI/36,87/forecast"
